PLAYER NAME,TEAMS,COUNTRY,AGE,POSITION,ROLE,RATING,SPEED,SHOOTING,PASSING,DRIBBLING,DEFENCE,FREEKICK
Bukayo Saka,Arsenal,England,23,ATT,RW,87,85,83,81,88,60,70
Ethan Nwaneri,Arsenal,England,18,ATT,RW,64,68,62,62,67,39,50
Reiss Nelson,Arsenal,England,25,ATT,RW,75,85,67,71,78,36,55
Noni Madueke,Arsenal,England,23,ATT,RW,78,90,72,72,82,38,67
Viktor Gyokeres,Arsenal,Sweden,27,ATT,SNT,84,90,83,67,80,36,91
Kai Havertz,Arsenal,Germany,26,ATT,SNT,83,77,81,80,82,49,72
Gabriel Jesus,Arsenal,Brazil,28,ATT,SNT,82,83,80,75,88,39,77
Ederson Moraes,Manchester City,Brazil,31,GK,GK,88,87,82,91,97,64,86
tefan Ortega,Manchester City,Germany,32,GK,GK,81,79,77,86,84,52,81
RRuben Dias,Manchester City,Portugal,28,DEF,STP,88,67,39,70,69,89,87
Abdukodir Khusanov,Manchester City,Uzbekistan,21,DEF,STP,72,71,39,54,55,71,72
Manuel Akanji,Manchester City,Switzerland,30,DEF,STP,84,78,48,71,75,85,82
John Stones,Manchester City,England,31,DEF,STP,85,69,58,75,79,85,77
Nathan Ake,Manchester City,Holland,30,DEF,STP,84,76,53,72,75,84,77
Josko Gvardiol,Manchester City,Croatia,23,DEF,LB,83,79,69,74,78,83,83
Rayan Ait-Nouri,Manchester City,Algeria,24,DEF,LB,79,84,52,73,82,73,70
Rico Lewis,Manchester City,England,20,DEF,RB,76,78,54,73,81,71,57
Rodri,Manchester City,Spain,29,MID,CDM,91,66,80,86,84,87,85
Kalvin Phillips,Manchester City,England,29,MID,CDM,77,58,65,73,73,75,74
Tijjani Reijnders,Manchester City,Holland,27,MID,CM,82,80,76,80,84,73,74
Nico Gonzalez,Manchester City,Spain,23,MID,CDM,77,66,63,73,75,72,80
Matheus Nunes,Manchester City,Portugal,26,MID,CM,78,83,71,74,81,73,76
Mateo Kovacic,Manchester City,Croatia,31,MID,CM,83,69,67,82,87,71,70
Ilkay Gundogan,Manchester City,Germany,34,MID,CM,87,62,83,85,87,74,73
Bernardo Silva,Manchester City,Portugal,30,MID,CM,88,75,78,86,92,71,69
James McAtee,Manchester City,England,22,ATT,RW,70,70,64,67,73,41,60
Claudio Echeverri,Manchester City,Argentina,19,MID,CMM,71,87,62,67,79,35,44
Jeremy Doku,Manchester City,Belgium,23,ATT,LW,80,92,72,73,86,30,68
Jack Grealish,Manchester City,England,29,ATT,LW,84,76,76,82,88,53,73
Phil Foden,Manchester City,England,25,ATT,RW,88,86,86,85,90,57,93
Savinho,Manchester City,Brazil,21,ATT,LW,82,88,72,77,84,30,53
Rayan Cherki,Manchester City,France,21,MID,CMM,75,68,67,74,84,21,61
Oscar Bobb,Manchester City,Norway,22,ATT,RW,72,80,62,71,79,33,41
Erling Haaland,Manchester City,Norway,25,ATT,SNT,91,88,92,70,81,45,88
Omar Marmoush,Manchester City,Egypt,26,ATT,SNT,79,89,78,66,83,32,71
Robert Sanchez,Chelsea,Spain,27,GK,GK,79,79,77,75,80,58,79
Filip Jorgensen,Chelsea,Denmark,23,GK,GK,77,75,76,77,77,41,78
Levi Colwill,Chelsea,England,22,DEF,STP,77,69,40,68,68,77,77
Trevoh Chalobah,Chelsea,England,26,DEF,STP,78,67,50,67,67,78,78
Wesley Fofana,Chelsea,France,24,DEF,STP,78,67,40,60,65,80,75
Renato Veiga,Chelsea,Portugal,22,DEF,STP,72,73,60,70,70,70,72
Axel Disasi,Chelsea,France,27,DEF,STP,79,57,48,60,59,80,81
Benoit Badiashile,Chelsea,France,24,DEF,STP,78,62,47,67,60,78,77
Tosin Adarabioyo,Chelsea,England,27,DEF,STP,78,72,35,63,63,78,78
Mamadou Sarr,Chelsea,France,19,DEF,STP,65,62,30,51,54,65,68
Marc Cucurella,Chelsea,Spain,27,DEF,LB,82,75,60,80,80,78,76
Ben Chilwell,Chelsea,England,28,DEF,LB,79,76,60,78,77,75,72
Malo Gusto,Chelsea,France,22,DEF,RB,80,88,49,75,78,73,75
Reece James,Chelsea,England,25,DEF,RB,82,78,72,83,82,82,82
Moises Caicedo,Chelsea,Ecuador,23,MID,CDM,82,75,63,75,78,79,78
Romeo Lavia,Chelsea,Belgium,21,MID,CDM,75,67,50,70,75,73,73
Dario Essugo,Chelsea,Portugal,20,MID,CDM,72,73,56,63,71,71,78
Lesley Ugochukwu,Chelsea,France,21,MID,CDM,73,64,57,68,68,72,75
Enzo Fernandez,Chelsea,Argentina,24,MID,CM,82,69,73,82,80,73,77
Andrey Santos,Chelsea,Brazil,21,MID,CM,73,74,65,70,75,70,69
Kiernan Dewsbury-Hall,Chelsea,England,26,MID,CM,78,67,71,77,78,69,77
Carney Chukwuemeka,Chelsea,England,21,MID,CMM,72,65,65,68,76,50,63
Cole Palmer,Chelsea,England,23,MID,CMM,85,75,82,83,86,50,66
Jamie Gittins,Chelsea,England,20,ATT,LW,75,90,66,62,82,26,55
Mykhaylo Mudryk,Chelsea,Ukraine,24,ATT,LW,77,92,72,72,80,38,63
Pedro Neto,Chelsea,Portugal,25,ATT,RW,79,88,74,72,83,31,59
Raheem Sterling,Chelsea,England,30,ATT,LW,81,85,78,75,85,42,65
Nicolas Jackson,Chelsea,Senegal,24,ATT,SNT,79,83,78,65,80,40,73
Joao Pedro,Chelsea,Brazil,23,ATT,SNT,77,77,77,67,79,28,62
Liam Delap,Chelsea,England,22,ATT,SNT,71,76,70,58,70,29,74
Christopher Nkunku,Chelsea,France,27,MID,CMM,84,81,81,81,86,60,67
Guglielmo Vicario,Tottenham,Italy,28,GK,GK,84,84,80,79,87,52,84
Antonin Kinski,Tottenham,Czech Republic,22,GK,GK,72,73,72,74,74,25,72
Cristian Romero,Tottenham,Argentina,27,DEF,STP,84,68,46,59,66,85,81
Micky van de Ven,Tottenham,Holland,24,DEF,STP,82,88,47,64,71,83,81
Kevin Danso,Tottenham,Austria,26,DEF,STP,80,75,32,57,62,80,85
Radu Draguin,Tottenham,Romania,23,DEF,STP,75,73,37,53,65,75,75
Luka Vukovic,Tottenham,Croatia,18,DEF,STP,64,61,62,50,58,59,75
Ben Davies,Tottenham,Wales,32,DEF,STP,76,58,58,72,72,77,72
Destiny Udogie,Tottenham,Italy,22,DEF,LB,82,88,65,74,80,78,80
Djed Spence,Tottenham,England,24,DEF,RB,72,86,43,60,74,67,60
Pedro Porro,Tottenham,Spain,25,DEF,RB,83,82,73,80,81,78,77
Archie Gray,Tottenham,England,19,MID,CDM,73,75,60,70,74,70,72
Rodrigo Bentancur,Tottenham,Uruguay,28,MID,CM,81,67,68,80,82,79,76
Yves Bissouma,Tottenham,Mali,28,MID,CDM,80,71,67,75,81,78,77
Lucas Bergvall,Tottenham,Sweden,19,MID,CM,68,72,52,67,73,53,65
Pape Matar Sarr,Tottenham,Senegal,22,MID,CDM,79,70,65,75,78,76,75
Dejan Kulusevski,Tottenham,Sweden,25,ATT,RW,82,75,77,80,83,57,80
James Maddison,Tottenham,England,28,MID,CMM,85,71,81,86,86,54,63
Bryan Mbeumo,Manchester United,Cameroon,25,ATT,RW,80,84,80,74,80,49,76
Mikey Moore,Tottenham,England,17,ATT,LW,64,75,60,60,66,35,51
Bryan Gil,Tottenham,Spain,24,ATT,LW,76,75,67,74,81,31,40
Manor Solomon,Tottenham,Israel,26,ATT,LW,76,82,72,73,80,43,42
Mohammed Kudus,Tottenham,Ghana,24,ATT,RW,82,90,77,73,86,60,75
Brennan Johnson,Tottenham,Wales,24,ATT,RW,78,89,74,72,78,43,59
Wilson Odobert,Tottenham,France,20,DEF,RB,73,86,43,60,74,67,60
Dominic Solanke,Tottenham,England,27,ATT,SNT,81,75,81,66,78,29,83
Mathys Tel,Tottenham,France,20,ATT,SNT,77,86,80,64,77,29,64
Richarlison,Tottenham,Brazil,28,ATT,SNT,81,77,80,73,80,53,78
Andre Onana,Manchester United,Cameroon,29,GK,GK,83,83,75,87,86,61,79
Amad Diallo,Manchester United,Ivory Coast,25,ATT,RW,75,85,71,68,80,25,50
Leny Yoro,Manchester United,France,19,DEF,STP,78,73,41,59,61,79,73
Lisandro Martinez,Manchester United,Argentina,27,DEF,STP,84,71,59,78,79,85,81
Matthijs de Ligt,Manchester United,Holland,25,DEF,STP,84,62,61,63,67,85,83
Harry Maguire,Manchester United,England,32,DEF,STP,80,37,57,70,65,80,82
Patrick Dorgu,Manchester United,Denmark,20,DEF,LB,64,78,50,54,67,57,48
Luke Shaw,Manchester United,England,30,DEF,LB,82,75,57,82,78,81,78
Tyrell Malacia,Manchester United,Holland,25,DEF,LB,76,78,54,67,76,73,73
Diogo Dalot,Manchester United,Portugal,26,DEF,RB,82,85,63,77,80,79,79
Noussair Mazraoui,Manchester United,Morocco,27,DEF,RB,81,78,66,77,83,77,71
Manuel Ugarte,Manchester United,Uruguay,24,MID,CDM,81,69,65,73,77,78,80
Casemiro,Manchester United,Brazil,33,MID,CDM,84,38,74,77,69,82,82
Kobbie Mainoo,Manchester United,England,20,MID,CDM,77,74,66,74,81,73,72
Bruno Fernandes,Manchester United,Portugal,30,MID,CMM,87,70,85,88,83,65,75
Mason Mount,Manchester United,England,26,MID,CM,78,70,77,81,79,61,65
Alejandro Garnacho,Manchester United,Argentina,21,ATT,LW,79,86,75,72,81,37,59
Jadon Sancho,Manchester United,England,25,ATT,LW,82,79,69,78,89,32,50
Yoane Wissa,Brentford,Congo Republic,28,ATT,LW,79,85,79,70,79,29,71
Noah Sadiki,Sunderland,Congo Republic,20,MID,CDM,67,73,38,59,68,65,67
Antony,Manchester United,Brazil,23,ATT,RW,77,82,70,72,82,43,72
Matheus Cunha,Manchester United,Brazil,25,ATT,SNT,79,84,78,76,83,44,75
Rasmus Hojlund,Manchester United,Denmark,26,ATT,SNT,78,85,77,59,74,33,84
Joshua Zirkzee,Manchester United,Holland,22,ATT,SNT,79,73,77,72,83,37,73
Emiliano Martinez,Aston Villa,Argentina,32,GK,GK,87,84,82,83,86,56,87
Marco Bizot,Aston Villa,Holland,34,GK,GK,79,79,76,72,80,46,79
Ezri Konsa,Aston Villa,England,27,DEF,STP,81,76,48,71,76,83,78
Pau Torres,Aston Villa,Spain,28,DEF,STP,82,70,41,77,70,83,79
Chris Wood,Nottingham Forest,New Zealand,33,ATT,SNT,76,49,78,61,68,40,79
Lamare Bogarde,Aston Villa,Holland,21,MID,CDM,64,64,46,57,61,63,69
Tyrone Mings,Aston Villa,England,32,DEF,STP,79,64,44,67,64,78,80
Ian Maatsen,Aston Villa,Holland,23,DEF,LB,79,86,65,75,81,72,63
Lucas Digne,Aston Villa,France,32,DEF,LB,79,73,68,78,76,76,74
Alex Moreno,Aston Villa,Spain,32,DEF,LB,79,79,66,74,77,76,68
Matty Cash,Aston Villa,Poland,27,DEF,RB,79,77,66,71,75,75,76
Andres Garcia,Aston Villa,Spain,22,ATT,RW,69,74,62,62,71,55,60
Amadou Onana,Aston Villa,Belgium,23,MID,CDM,78,72,59,71,72,76,79
Boubacar Kamara,Aston Villa,France,25,MID,CDM,82,66,54,74,75,83,80
Leander Dendoncker,Aston Villa,Belgium,30,MID,CM,75,53,69,75,70,76,78
Youri Tielemans,Aston Villa,Belgium,28,MID,CM,81,44,79,83,79,69,70
John McGinn,Aston Villa,Scotland,30,MID,CM,82,68,77,80,82,78,85
Ross Barkley,Aston Villa,England,31,MID,CM,78,53,75,78,77,63,74
Jacob Ramsey,Aston Villa,England,24,ATT,LW,78,78,75,73,80,68,74
Morgan Rogers,Aston Villa,England,23,DEF,LB,75,77,71,71,77,56,71
Emiliano Buendia,Aston Villa,Argentina,28,ATT,RW,78,69,74,80,82,66,66
Samuel Iling-Junior,Aston Villa,England,21,ATT,LW,73,81,61,69,78,37,55
Ollie Watkins,Aston Villa,England,29,ATT,SNT,85,85,83,73,80,50,83
Leon Bailey,Aston Villa,Jamaica,27,ATT,RW,82,90,78,77,86,38,62
Donyell Malen,Aston Villa,Holland,26,ATT,RW,83,89,81,74,85,35,72
Nick Pope,Newcastle United,England,33,GK,GK,83,82,82,75,85,49,82
Odysseas Vlachodimos,Newcastle United,Greece,31,GK,GK,74,75,73,66,74,43,74
Martin Dubravka,Newcastle United,Slovakia,36,GK,GK,76,76,74,78,78,38,75
Sven Botman,Newcastle United,Holland,25,DEF,STP,82,60,37,63,65,83,83
Fabian Schar,Newcastle United,Switzerland,33,DEF,STP,82,51,68,77,74,84,79
Dan Burn,Newcastle United,England,33,DEF,STP,78,42,36,67,63,77,84
Jamaal Lascelles,Newcastle United,England,31,DEF,STP,75,40,35,51,50,76,78
Lewis Hall,Newcastle United,England,20,DEF,LB,73,74,62,74,75,68,59
Matt Targett,Newcastle United,England,29,DEF,LB,74,65,47,71,70,73,66
Tino Livramento,Newcastle United,England,22,DEF,RB,78,83,50,70,79,74,73
Kieran Trippier,Newcastle United,England,34,DEF,RB,83,67,65,85,78,81,72
Bruno Guimaraes,Newcastle United,Brazil,27,MID,CDM,85,68,75,83,84,79,83
Sandro Tonali,Newcastle United,Italy,25,MID,CDM,85,84,74,81,81,82,82
Joelinton,Newcastle United,Brazil,28,MID,CM,82,76,72,76,82,81,89
Joe Willock,Newcastle United,England,25,MID,CM,77,77,72,73,80,72,69
Lewis Miley,Newcastle United,England,19,MID,CM,72,65,61,72,73,64,66
Anthony Gordon,Newcastle United,England,24,ATT,LW,82,91,78,76,81,49,71
Harvey Barnes,Newcastle United,England,27,ATT,LW,80,85,78,75,81,43,68
Heung-min Son,Tottenham,South Korea,33,ATT,SNT,87,87,89,81,85,42,73
Jacob Murphy,Newcastle United,England,30,ATT,RW,76,82,70,71,78,61,69
Lyle Foster,Burnley,South Africa,24,ATT,SNT,72,79,72,61,69,36,73
William Osula,Newcastle United,Denmark,21,ATT,SNT,67,68,66,49,64,24,63
Matz Sels,Nottingham Forest,Belgium,33,GK,GK,77,76,76,79,77,36,77
Carlos Miguel,Nottingham Forest,Brazil,26,GK,GK,73,71,74,69,71,17,73
Matt Turner,Nottingham Forest,USA,31,GK,GK,74,74,72,67,74,40,73
Murillo,Nottingham Forest,Brazil,23,DEF,STP,78,72,43,61,67,78,82
Nikola Milenković,Nottingham Forest,Serbia,27,DEF,STP,79,58,45,62,62,79,82
Morato,Nottingham Forest,Brazil,24,DEF,STP,76,68,37,57,61,76,82
David Carmo,Nottingham Forest,Angola,26,DEF,STP,76,49,39,58,51,77,81
Ola Aina,Nottingham Forest,Nigeria,28,DEF,LB,75,89,60,69,74,70,74
Neco Williams,Nottingham Forest,Wales,24,DEF,RB,76,74,46,68,73,74,68
Ibrahim Sangare,Nottingham Forest,Ivory Coast,27,MID,CDM,77,60,65,72,72,77,83
Marko Stamenic,Nottingham Forest,New Zealand,23,MID,CDM,72,67,60,68,72,66,75
Elliot Anderson,Nottingham Forest,England,22,MID,CM,75,72,66,72,79,69,77
Nicolas Dominguez,Nottingham Forest,Argentina,27,MID,CDM,77,69,65,72,76,72,77
Ryan Yates,Nottingham Forest,England,27,MID,CDM,75,58,60,67,67,75,81
Eric da Silva Moreira,Nottingham Forest,Germany,19,ATT,RW,61,75,43,56,63,52,58
Morgan Gibbs-White,Nottingham Forest,England,25,MID,CMM,79,75,74,79,80,57,69
Callum Hudson-Odoi,Nottingham Forest,England,24,ATT,LW,77,82,72,73,80,48,60
Jota Silva,Nottingham Forest,Portugal,25,ATT,RW,77,83,72,69,76,44,74
Taiwo Awoniyi,Nottingham Forest,Nigeria,27,ATT,SNT,76,75,76,60,69,32,79
Hee-chan Hwang,Wolverhampton,South Korea,29,ATT,SNT,78,84,77,70,78,39,74
Emmanuel Dennis,Nottingham Forest,Nigeria,27,ATT,LW,72,85,71,63,75,41,70
Willy Boly,Nottingham Forest,Ivory Coast,34,DEF,STP,77,34,36,60,58,77,78
Bart Verbruggen,Brighton,Holland,22,GK,GK,76,78,72,74,81,56,69
Jason Steele,Brighton,England,34,GK,GK,75,75,73,80,74,39,75
Tom McGill,Brighton,Canada,25,GK,GK,60,62,60,63,62,19,59
Jan Paul van Hecke,Brighton,Holland,25,DEF,STP,76,55,45,58,65,77,77
Olivier Boscagli,Brighton,France,27,DEF,STP,78,67,50,75,76,80,75
Igor,Brighton,Brazil,27,DEF,STP,77,67,37,57,58,77,85
Adam Webster,Brighton,England,30,DEF,STP,76,54,31,61,68,77,76
Diego Coppola,Brighton,Italy,21,DEF,STP,71,53,40,55,50,73,65
Lewis Dunk,Brighton,England,33,DEF,STP,79,41,52,68,65,80,80
Anthony Elanga,Newcastle United,Sweden,23,ATT,RW,76,87,69,68,78,39,69
Maxim De Cuyper,Brighton,Belgium,24,DEF,LB,76,76,72,79,77,68,70
Tariq Lamptey,Brighton,Ghana,24,DEF,RB,75,85,44,66,77,70,50
Joel Veltman,Brighton,Holland,33,DEF,RB,76,54,49,68,71,79,74
Carlos Baleba,Brighton,Cameroon,21,MID,CDM,73,77,50,65,74,68,77
Mats Wieffer,Brighton,Holland,25,MID,CDM,80,70,66,74,75,76,83
Jack Hinshelwood,Brighton,England,20,MID,CDM,69,63,63,69,69,66,65
Yasin Ayari,Brighton,Sweden,21,MID,CM,66,63,51,66,69,52,59
Matt O'Riley,Brighton,Denmark,24,MID,CM,79,69,77,80,77,67,76
Malick Yalcouy,Brighton,Ivory Coast,19,MID,CM,66,82,55,55,68,61,66
Diego Gomez,Brighton,Paraguay,22,MID,CM,68,75,63,65,69,59,72
James Milner,Brighton,England,39,MID,CM,75,50,70,78,74,74,73
Facundo Buonanotte,Brighton,Argentina,20,ATT,RW,73,75,67,70,76,30,52
Andrew Moran,Brighton,Ireland,21,MID,CMM,67,75,58,66,71,39,57
Kaoru Mitoma,Brighton,Japan,28,ATT,LW,81,84,73,75,85,57,65
Abdallah Sima,Brighton,Senegal,24,ATT,LW,74,89,73,66,72,41,72
Jeremy Sarmiento,Brighton,Ekvador,23,ATT,LW,69,78,63,65,72,37,60
Yankuba Minteh,Brighton,Gambia,21,ATT,RW,74,95,65,61,79,45,56
Brajan Gruda,Brighton,Germany,21,MID,CMM,74,78,71,69,81,30,67
Solly March,Brighton,England,31,ATT,RW,78,75,71,76,79,67,65
Georginio Rutter,Brighton,France,23,MID,CMM,75,79,69,70,79,42,70
Stefanos Tzimas,Brighton,Greece,19,ATT,SNT,67,76,67,50,65,31,64
Charalampos Kostoulas,Brighton,Greece,18,ATT,SNT,64,68,63,53,61,35,64
Danny Welbeck,Brighton,England,34,ATT,SNT,76,54,76,70,76,42,71
Alphonse Areola,West Ham United,France,32,GK,GK,81,82,77,74,83,55,80
Wes Foderingham,West Ham United,England,34,GK,GK,73,74,71,72,75,44,72
Krisztian Hegyi,West Ham United,Hungary,22,GK,GK,55,56,55,53,57,25,52
Maximilian Kilman,West Ham United,England,28,DEF,STP,77,61,42,66,64,77,78
Jean-Clair Todibo,West Ham United,France,25,DEF,STP,80,81,47,64,69,80,78
Nayef Aguerd,West Ham United,Morocco,29,DEF,STP,79,67,50,64,64,81,75
Konstantinos Mavropanos,West Ham United,Greece,27,DEF,STP,78,74,56,54,59,79,82
El Hadji Malick Diouf,West Ham United,Cameroon,20,DEF,LB,71,78,58,64,69,67,71
Emerson,West Ham United,Italy,30,DEF,LB,78,79,63,75,78,73,65
Aaron Wan-Bissaka,West Ham United,Congo Republic,27,DEF,RB,79,82,51,68,77,77,72
Kyle Walker-Peters,West Ham United,England,28,DEF,RB,76,75,47,68,74,73,71
Edson Alvarez,West Ham United,Mexico,27,MID,CDM,81,66,58,69,72,83,87
Tomas Soucek,West Ham United,Czech Republic,30,MID,CDM,79,50,72,71,68,80,83
Guido Rodriguez,West Ham United,Argentina,31,MID,CDM,83,51,58,72,70,85,80
Freddie Potts,West Ham United,England,21,MID,CDM,67,63,52,62,63,64,68
James Ward-Prowse,West Ham United,England,30,MID,CM,79,57,73,86,75,66,72
Andrew Irving,West Ham United,Scotland,25,MID,CM,71,57,71,71,71,63,77
Lewis Orford,West Ham United,England,19,MID,CDM,58,61,43,58,57,50,60
Lucas Paqueta,West Ham United,Brazil,27,ATT,LW,82,72,77,79,85,69,79
George Earthy,West Ham United,England,20,MID,CMM,64,67,58,61,67,38,47
Crysencio Summerville,West Ham United,Holland,23,ATT,LW,76,91,71,67,79,35,60
Maxwel Cornet,West Ham United,Ivory Coast,28,ATT,LW,75,85,75,70,76,67,70
Jarrod Bowen,West Ham United,England,28,ATT,RW,82,77,81,76,81,76,70
Luis Guilherme,West Ham United,Brazil,19,ATT,RW,71,76,62,64,75,33,57
Niclas Füllkrug,West Ham United,Germany,32,ATT,SNT,82,63,84,71,75,43,81
Caoimhín Kelleher,Brentford,Ireland,26,GK,GK,77,76,74,77,78,43,76
Hákon Rafn Valdimarsson,Brentford,Iceland,23,GK,GK,68,68,65,64,69,20,68
Matthew Cox,Brentford,England,22,GK,GK,65,67,63,65,66,30,65
Ellery Balcombe,Brentford,England,25,GK,GK,61,61,59,61,64,39,59
Nathan Collins,Brentford,Ireland,24,DEF,STP,75,61,30,55,62,76,76
Sepp van den Berg,Brentford,Netherlands,23,DEF,STP,77,76,36,63,66,78,76
Kristoffer Ajer,Brentford,Norway,27,DEF,STP,76,64,56,63,70,74,82
Ethan Pinnock,Brentford,Jamaica,32,DEF,STP,79,67,36,56,61,81,83
Keane Lewis-Potter,Brentford,England,24,ATT,LW,73,78,67,65,76,44,65
Rico Henry,Brentford,England,28,DEF,LB,77,87,41,62,75,75,71
Jayden Meghoma,Brentford,England,19,DEF,LB,57,75,36,48,56,51,56
Michael Kayode,Brentford,Nigeria,21,DEF,RB,71,65,35,56,71,72,58
Aaron Hickey,Brentford,Scotland,23,DEF,RB,76,74,54,70,74,74,68
Mads Roerslev,Brentford,Denmark,26,DEF,RB,73,68,45,69,70,70,70
Vitaly Janelt,Brentford,Germany,27,MID,CM,76,60,70,73,73,73,78
Alexander Isak,Newcastle United,Sweden,25,ATT,SNT,85,85,84,73,86,39,74
Jordan Henderson,Brentford,England,35,MID,CDM,80,64,72,81,76,75,78
Yehor Yarmolyuk,Brentford,Ukraine,21,MID,CMM,68,67,61,68,71,47,64
Mathias Jensen,Brentford,Denmark,29,MID,CM,77,67,64,79,75,69,74
Frank Onyeka,Brentford,Nigeria,27,MID,CM,72,77,63,66,73,72,76
Paris Maghoma,Brentford,Congo,24,MID,CM,67,66,61,65,70,60,68
Ryan Trevitt,Brentford,England,22,MID,CM,61,62,58,60,65,48,61
Mikkel Damsgaard,Brentford,Denmark,25,MID,CM,73,81,69,71,78,61,65
Antoni Milambo,Brentford,Netherlands,20,MID,CM,66,68,58,64,70,44,55
Fábio Carvalho,Brentford,Portugal,22,MID,CM,74,77,68,68,77,45,51
Kevin Schade,Brentford,Germany,23,ATT,LW,72,94,65,59,73,29,64
Myles Peart-Harris,Brentford,England,22,MID,CM,64,72,61,63,65,52,71
Romelle Donovan,Brentford,England,18,ATT,RW,57,79,46,49,64,29,45
Altay Bayindir,Manchester United,Turkiye,27,GK,GK,76,78,73,72,79,30,76
Igor Thiago,Brentford,Brazil,24,ATT,SNT,76,73,75,54,69,37,86
Jordan Pickford,Everton,England,31,GK,GK,83,83,78,88,87,53,80
Mark Travers,Everton,Ireland,26,GK,GK,73,73,69,70,76,40,73
Harry Tyrer,Everton,England,23,GK,GK,61,60,58,59,61,16,61
Jarrad Branthwaite,Everton,England,23,DEF,STP,79,71,37,53,59,79,77
James Tarkowski,Everton,England,32,DEF,STP,80,47,45,64,59,81,81
Michael Keane,Everton,England,32,DEF,STP,75,41,49,62,59,76,74
Vitaliy Mykolenko,Everton,Ukraine,26,DEF,LB,77,75,51,65,61,76,69
Jake O'Brien,Everton,Ireland,24,DEF,STP,75,76,41,53,51,73,79
Nathan Patterson,Everton,Scotland,23,DEF,RB,71,75,46,60,69,69,70
Seamus Coleman,Everton,Ireland,36,DEF,RB,74,53,65,71,73,76,70
